,dim1,dim2,city,country,region,"GHGe intensity 2004","GHGe intensity 2009","CDD 23C","HDD 15.5C","commerce index","diesel price","gas price","GDP/capita","household size",population,"population density","urban ratio",water_bounded
244,2.8868158994,-5.7223300805,Ho Chi Minh City,China,ASIA,402,,1525,0,46.1127777778,0.77,0.8,1029,3.44,4811170,35565,27.3,1
245,7.7413291327,4.1488620488,Houston,USA,OECD90,643,,903,547,51.3,0.78,0.56,30679.72,2.83,3918061,882,80.7,1
246,3.2069598645,-6.3093348751,Jakarta,Indonesia,ASIA,770,,2023,0,35.4,0.42,0.5,1861.08,3.44,9161000,17340,45.9,1
247,3.2814157356,-8.1987212965,Kuala Lumpur,Malaysia,ASIA,579,,1772,0,45.28,0.53,0.53,6990.65,3.44,3773900,5785,67.6,1
248,2.8844072314,-5.9783218738,Manila,Philippines,ASIA,486,,2007,0,35.15,0.81,0.91,2216.92,3.44,9447156,20637,48,1
249,-14.9092820135,10.907885511,Marseille,France,OECD90,79.9,,244,1139,55.3111428571,1.45,1.52,29336.94,2.3187931035,798430,5871,81.6,1
250,9.0334931311,0.9219470632,Montreal,Canada,OECD90,224,,83,3377,51.6,0.9,0.76,16065.68,2.3187931035,3224130,3170,80.1,1
251,3.1994792385,-4.6373864603,Mumbai,India,ASIA,928,,1909,0,45.71,0.7,1.09,912.79,1.55,17072000,33743,29.2,1
252,-16.39134902,6.9316945923,Munich,Germany,OECD90,596,,71,2698,52.52,1.56,1.56,54692.08,1.76,1324208,5566,73.4,0
253,-14.489829919,10.0433267422,Nantes,France,OECD90,79.9,,39,1636,55.3111428571,1.45,1.52,32332.26,2.17,534000,3584,81.6,0
254,-2.7918860788,6.1474091654,Newcastle,England,OECD90,522,,0,2443,55.3111428571,1.65,1.44,13815.73,2.39,1131000,3836,79,0
255,3.3739112998,-3.1668195298,Osaka,Japan,ASIA,421,,499,1066,54.94,1.3,1.42,39936.53,3.44,16828737,9813,86,1
256,9.4986307082,0.9564391965,Ottawa,Canada,OECD90,224,,75,3663,55.3111428571,0.9,0.76,18826.58,2.5,972456,3126,80.1,0
257,8.8323297648,5.059247952,Perth,Australia,OECD90,957,,385,486,55.3111428571,0.94,0.74,21995.2,2.6,1244320,1090,88.2,1
258,6.5315438932,4.6486589781,Phoenix,USA,OECD90,643,,1776,364,55.3111428571,0.78,0.56,26920.48,2.68,2526113,1040,80.7,0
259,3.7488288427,-8.1591320462,Riyadh,Saudi Arabia,ASIA,828,,2219,269,35.37,0.09,0.16,5938.64,3.44,3116000,4395,81,1
